Date,Open,High,Low,Close
1-March-2016,9594.04,9877.52,9592.05,9866.27
2-March-2016,9922.50,10105.85,9922.50,10051.86
3-March-2016,10092.86,10121.88,10043.74,10110.46
4-March-2016,10141.06,10237.69,10087.57,10224.84
8-March-2016,10239.67,10302.90,10149.43,10199.44
9-March-2016,10193.56,10303.58,10135.20,10295.51
10-March-2016,10319.74,10349.16,10245.86,10262.09
11-March-2016,10271.11,10331.06,10225.16,10270.70
14-March-2016,10304.29,10362.62,10266.93,10302.62
15-March-2016,10314.48,10322.62,10202.77,10221.51
16-March-2016,10219.29,10219.29,10081.51,10179.85
17-March-2016,10234.14,10302.70,10208.58,10232.92
18-March-2016,10245.17,10316.85,10208.23,10300.37
21-March-2016,10329.38,10461.05,10316.74,10444.24
22-March-2016,10470.56,10533.25,10420.24,10498.83
23-March-2016,10516.25,10534.85,10474.01,10524.47
28-March-2016,10536.76,10548.75,10349.53,10381.41
29-March-2016,10391.95,10409.31,10313.01,10359.81
30-March-2016,10409.92,10556.87,10402.62,10547.24
31-March-2016,10556.80,10641.10,10531.51,10618.95
1-April-2016,10631.44,10673.32,10595.77,10642.32
4-April-2016,10670.95,10691.61,10630.80,10668.29
5-April-2016,10669.84,10669.84,10492.35,10511.24
6-April-2016,10522.22,10593.99,10490.55,10573.83
7-April-2016,10595.92,10616.29,10510.44,10526.54
8-April-2016,10532.15,10605.22,10513.12,10594.26
11-April-2016,10605.93,10715.61,10602.42,10709.79
12-April-2016,10721.93,10828.66,10717.24,10817.39
13-April-2016,10862.03,10968.94,10859.06,10916.30
18-April-2016,10927.72,11061.22,10901.63,11053.30
20-April-2016,11079.59,11124.08,11027.78,11064.13
21-April-2016,11085.95,11134.90,10981.40,11009.30
22-April-2016,11013.24,11053.42,10989.75,11018.64
25-April-2016,11040.47,11058.96,10971.48,11003.75
26-April-2016,11009.12,11103.75,10980.61,11090.49
27-April-2016,11109.70,11166.10,11088.79,11104.84
28-April-2016,11109.56,11164.15,11009.80,11018.47
