Date,Open,High,Low,Close
1-March-2016,9558.52,9870.99,9557.56,9856.56
2-March-2016,9904.86,10114.34,9904.85,10073.97
3-March-2016,10103.75,10211.41,10103.75,10209.66
4-March-2016,10217.47,10305.60,10184.79,10285.75
8-March-2016,10298.05,10380.30,10261.76,10309.98
9-March-2016,10297.28,10317.21,10234.78,10314.04
10-March-2016,10338.72,10386.86,10274.21,10294.96
11-March-2016,10297.44,10360.56,10249.05,10277.99
14-March-2016,10309.05,10375.28,10299.50,10320.56
15-March-2016,10335.24,10351.00,10242.05,10256.50
16-March-2016,10266.62,10286.18,10148.48,10239.25
17-March-2016,10269.73,10339.62,10227.52,10245.98
18-March-2016,10262.60,10317.08,10235.09,10308.76
21-March-2016,10325.66,10453.87,10325.66,10448.48
22-March-2016,10471.32,10507.86,10413.77,10477.04
23-March-2016,10484.02,10527.03,10482.73,10501.80
28-March-2016,10510.51,10528.07,10315.88,10328.46
29-March-2016,10335.95,10362.20,10251.98,10300.92
30-March-2016,10332.75,10497.31,10332.59,10493.25
31-March-2016,10512.54,10554.51,10501.69,10541.68
1-April-2016,10551.97,10644.99,10537.94,10639.84
4-April-2016,10667.50,10706.52,10645.97,10695.30
5-April-2016,10693.32,10693.32,10534.27,10545.67
6-April-2016,10553.89,10649.81,10550.96,10641.71
7-April-2016,10659.28,10678.30,10587.02,10597.42
8-April-2016,10594.19,10667.06,10584.73,10664.46
11-April-2016,10682.56,10739.42,10665.94,10731.95
12-April-2016,10746.42,10840.36,10744.99,10828.24
13-April-2016,10871.55,10982.49,10871.13,10943.02
18-April-2016,10966.12,11067.32,10939.82,11064.19
20-April-2016,11088.95,11164.98,11080.81,11134.48
21-April-2016,11160.47,11212.69,11065.88,11076.85
22-April-2016,11080.43,11112.29,11057.93,11078.84
25-April-2016,11096.28,11107.71,11021.96,11035.60
26-April-2016,11031.53,11117.26,11010.81,11111.11
27-April-2016,11123.00,11180.52,11121.40,11142.41
28-April-2016,11154.35,11184.34,11013.36,11025.93
29-April-2016,11033.21,11080.88,10928.76,11020.59
2-May-2016,11022.93,11068.99,10989.67,11063.86
3-May-2016,11087.85,11174.43,11019.39,11032.53
4-May-2016,11028.88,11041.53,10913.08,10924.46
5-May-2016,10932.86,10978.14,10909.47,10920.66
6-May-2016,10918.71,10935.51,10884.89,10899.31
9-May-2016,10920.30,11036.65,10917.20,11030.13
10-May-2016,11038.41,11069.18,11035.86,11042.02
11-May-2016,11002.15,11079.00,10932.31,11038.37
12-May-2016,11054.68,11147.09,11054.18,11140.70
13-May-2016,11142.83,11175.99,11099.00,11113.30
16-May-2016,11131.41,11150.81,11073.01,11123.58
17-May-2016,11138.62,11184.56,11131.94,11144.56
18-May-2016,11145.22,11176.23,11126.43,11168.80
19-May-2016,11177.67,11230.86,11042.38,11055.81
20-May-2016,11068.43,11091.11,10953.22,10964.26
23-May-2016,10994.18,11031.78,10917.63,10922.41
24-May-2016,10934.47,10935.13,10825.84,10851.66
25-May-2016,10886.42,10960.09,10885.78,10953.83
26-May-2016,10975.60,11052.38,10972.30,11048.11
27-May-2016,11065.71,11144.94,11065.56,11110.96
30-May-2016,11139.81,11190.54,11124.80,11157.59
31-May-2016,11176.37,11184.28,11092.80,11142.42
1-June-2016,11159.46,11228.61,11153.49,11162.99
2-June-2016,11172.69,11205.16,11128.72,11195.66
3-June-2016,11216.10,11262.52,11140.33,11148.71
6-June-2016,11171.01,11192.31,11156.18,11172.92
7-June-2016,11191.59,11298.91,11191.42,11280.67
8-June-2016,11290.88,11384.14,11290.12,11381.03
9-June-2016,11398.11,11435.90,11357.58,11385.07
10-June-2016,11388.69,11476.15,11356.54,11362.72
13-June-2016,11336.96,11337.01,11242.88,11311.76
14-June-2016,11328.11,11406.98,11327.47,11372.61
15-June-2016,11399.15,11480.22,11399.15,11464.13
16-June-2016,11473.96,11478.52,11333.11,11401.64
17-June-2016,11428.88,11490.93,11398.58,11435.16
20-June-2016,11407.28,11491.31,11372.78,11477.85
21-June-2016,11496.65,11535.25,11486.75,11519.53
22-June-2016,11531.70,11565.51,11438.19,11450.59
23-June-2016,11458.59,11475.72,11405.93,11446.26
24-June-2016,11307.74,11307.74,10969.61,11278.63
27-June-2016,11282.58,11465.68,11279.43,11449.75
28-June-2016,11468.35,11559.50,11468.35,11540.15
29-June-2016,11565.42,11701.53,11565.39,11691.57
30-June-2016,11724.96,11813.87,11724.96,11801.32
1-July-2016,11823.94,11908.77,11821.31,11885.43
4-July-2016,11919.50,12031.40,11919.24,12005.84
5-July-2016,12012.50,12049.79,11963.31,11992.51
7-July-2016,12010.07,12069.66,11985.78,11997.28
8-July-2016,12022.03,12034.68,11929.63,11976.74
11-July-2016,12019.08,12119.57,12018.93,12071.35
12-July-2016,12097.17,12122.56,12042.91,12080.86
13-July-2016,12095.74,12120.27,11971.75,11981.30
14-July-2016,11982.83,12076.33,11981.77,12068.57
15-July-2016,12083.53,12107.99,11970.72,11979.69
18-July-2016,11997.60,12071.38,11915.29,11922.35
19-July-2016,11928.85,11947.57,11867.55,11909.59
