Date,Open,High,Low,Close
1-March-2016,2711.14,2788.85,2709.36,2784.44
2-March-2016,2814.99,2842.87,2814.99,2838.55
3-March-2016,2855.27,2882.35,2852.79,2878.78
4-March-2016,2888.21,2890.95,2869.32,2884.35
8-March-2016,2885.64,2901.37,2870.10,2886.76
9-March-2016,2873.81,2905.20,2863.00,2902.45
10-March-2016,2907.02,2908.12,2870.03,2884.16
11-March-2016,2883.56,2906.66,2875.81,2893.38
14-March-2016,2904.06,2921.71,2895.93,2903.44
15-March-2016,2906.68,2907.69,2873.04,2876.81
16-March-2016,2876.40,2891.39,2852.92,2888.72
17-March-2016,2907.81,2921.66,2882.31,2893.99
18-March-2016,2900.84,2932.04,2896.25,2929.03
21-March-2016,2935.86,2972.13,2934.54,2968.00
22-March-2016,2973.71,2978.85,2944.90,2973.16
23-March-2016,2972.54,2977.15,2956.35,2973.93
28-March-2016,2981.91,2983.53,2924.69,2934.09
29-March-2016,2934.42,2947.73,2920.95,2928.56
30-March-2016,2947.57,2982.23,2947.57,2980.44
31-March-2016,2983.68,2996.54,2969.88,2983.97
1-April-2016,2981.17,2985.54,2958.86,2975.38
4-April-2016,2983.12,2994.44,2972.99,2992.56
5-April-2016,2990.34,2990.34,2927.96,2932.80
6-April-2016,2943.70,2945.67,2928.46,2937.66
7-April-2016,2948.63,2949.69,2909.02,2913.09
8-April-2016,2911.56,2921.75,2905.21,2916.48
11-April-2016,2927.60,2960.82,2901.20,2957.95
12-April-2016,2961.93,2976.70,2957.64,2973.00
13-April-2016,2996.33,3032.81,2996.33,3027.32
18-April-2016,3047.55,3052.65,3025.68,3050.01
20-April-2016,3063.42,3067.19,3039.89,3053.36
21-April-2016,3066.77,3079.20,3043.37,3052.75
22-April-2016,3053.46,3058.69,3040.23,3049.45
25-April-2016,3054.68,3054.68,3020.52,3030.92
26-April-2016,3023.56,3075.73,3018.68,3071.32
27-April-2016,3067.88,3081.80,3061.26,3077.84
28-April-2016,3077.96,3081.77,3022.11,3026.69
29-April-2016,3027.47,3042.67,3003.66,3026.29
2-May-2016,3022.77,3022.81,3000.24,3011.89
3-May-2016,3018.77,3044.08,2986.03,2990.28
4-May-2016,2987.59,2990.03,2966.59,2970.96
5-May-2016,2980.28,2998.34,2971.69,2983.95
6-May-2016,2981.19,2984.75,2961.94,2982.07
9-May-2016,2993.02,3034.36,2991.96,3031.13
10-May-2016,3031.35,3042.34,3020.52,3038.32
11-May-2016,3013.77,3039.61,2997.42,3021.17
12-May-2016,3031.56,3048.41,3024.84,3043.99
13-May-2016,3038.85,3038.97,3001.11,3011.52
16-May-2016,3014.96,3032.84,2995.35,3028.61
17-May-2016,3040.31,3058.05,3035.11,3039.56
18-May-2016,3029.91,3036.39,3009.67,3032.22
19-May-2016,3033.46,3033.68,2990.68,2996.13
20-May-2016,2999.73,3008.59,2978.46,2983.91
23-May-2016,2998.64,3006.86,2974.67,2977.51
24-May-2016,2980.73,2986.77,2970.14,2982.88
25-May-2016,2998.47,3054.94,2998.47,3052.84
26-May-2016,3065.55,3107.47,3058.94,3103.12
27-May-2016,3108.26,3141.40,3107.93,3138.18
30-May-2016,3144.92,3157.22,3138.38,3147.84
31-May-2016,3159.06,3161.03,3131.54,3143.05
1-June-2016,3145.76,3164.11,3145.01,3148.43
2-June-2016,3146.43,3168.42,3140.23,3163.56
3-June-2016,3173.96,3181.62,3159.82,3164.98
6-June-2016,3170.87,3171.33,3151.18,3157.63
7-June-2016,3164.48,3192.44,3163.76,3181.74
8-June-2016,3189.24,3191.27,3178.52,3185.87
9-June-2016,3184.81,3184.90,3154.50,3161.66
10-June-2016,3159.25,3184.47,3146.29,3148.52
13-June-2016,3129.87,3129.91,3106.77,3125.15
14-June-2016,3134.06,3134.31,3110.51,3125.21
15-June-2016,3135.39,3164.14,3131.97,3161.26
16-June-2016,3158.18,3158.18,3114.00,3138.31
17-June-2016,3152.14,3160.69,3137.50,3148.47
20-June-2016,3133.42,3179.02,3127.40,3177.25
21-June-2016,3181.59,3183.29,3165.51,3170.24
22-June-2016,3169.10,3178.65,3147.27,3163.49
23-June-2016,3162.56,3194.24,3158.34,3187.76
24-June-2016,3115.23,3121.86,3056.52,3117.57
27-June-2016,3113.09,3134.33,3108.03,3124.02
28-June-2016,3125.51,3145.39,3122.24,3138.52
29-June-2016,3150.66,3169.70,3150.02,3165.87
30-June-2016,3185.04,3205.39,3182.29,3198.88
1-July-2016,3205.39,3227.95,3205.39,3218.03
4-July-2016,3234.93,3246.58,3231.62,3234.64
5-July-2016,3241.47,3243.95,3217.90,3222.86
7-July-2016,3228.54,3234.87,3219.73,3225.91
8-July-2016,3236.01,3236.34,3206.65,3218.79
11-July-2016,3244.19,3277.59,3244.01,3275.33
12-July-2016,3281.36,3297.17,3279.46,3295.27
13-July-2016,3306.03,3308.22,3289.06,3295.03
14-July-2016,3299.08,3316.07,3290.71,3313.89
15-July-2016,3318.23,3327.95,3294.53,3303.97
18-July-2016,3313.71,3324.03,3287.47,3292.76
19-July-2016,3297.00,3304.06,3280.10,3299.26
